song_id,title,artist,performance_note
song_0001,カタオモイ,Aimer,
song_0002,エンドレスロール,hockrockb,
song_0003,高嶺の花子さん,back number,
song_0004,わたがし,back number,
song_0005,ヒロイン,back number,
song_0006,やさしいキスをして,DREAMS COME TRUE,
song_0007,点描の唄,Mrs. GREEN APPLE,
song_0008,Pretender,Official髭男dism,
song_0009,Subtitle,Official髭男dism,
song_0010,Wherever you are,ONE OK ROCK,
song_0011,Heartache,ONE OK ROCK,
song_0012,Lemon,米津玄師,
song_0013,ドライフラワー,優里,
song_0014,Dear…,西野カナ,
song_0015,会いたくて 会いたくて,西野カナ,
song_0016,君の知らない物語,supercell,
song_0017,三日月,絢香,
song_0018,W/X/Y,Tani Yuuki,
song_0019,春泥棒,ヨルシカ,
song_0020,気まぐれロマンティック,いきものがかり,
song_0021,雨とカプチーノ,ヨルシカ,
song_0022,怪獣,サカナクション,
song_0023,ミカヅキ,さユり,
song_0024,ray,BUMP OF CHICKEN,
song_0025,"Mock,mock","ミナミイズミ, 朱名, メーメントヴァニタス",
song_0026,ぐるぐる,ミナミイズミ,
song_0027,性善説,amazarashi,
song_0028,ワンルーム叙事詩,amazarashi,
song_0029,とどめを刺して,amazarashi,
song_0030,スターライト,amazarashi,
song_0031,アルクアラウンド,サカナクション,
song_0032,さよならはエモーション,サカナクション,
song_0033,プラトー,サカナクション,
song_0034,ボイル,サカナクション,
song_0035,サザンクロス,BUMP OF CHICKEN,
song_0036,ゼロ,BUMP OF CHICKEN,
song_0037,流星,コブクロ,
song_0038,おやすみ泣き声、さよなら歌姫,クリープハイプ,
song_0039,宝石になった日,BUMP OF CHICKEN,
song_0040,ラフ・メイカー,BUMP OF CHICKEN,
song_0041,アカシア,BUMP OF CHICKEN,
song_0042,天体観測,BUMP OF CHICKEN,
song_0043,66号線,BUMP OF CHICKEN,
song_0044,Rising Hope,LiSA,
song_0045,紅蓮華,LiSA,
song_0046,unravel,TK from 凛として時雨,
song_0047,季節は次々死んでいく,amazarashi,
song_0048,空に歌えば,amazarashi,
song_0049,境界線,amazarashi,
song_0050,青のすみか,キタニタツヤ,
song_0051,スカー,キタニタツヤ,
song_0052,いらない,サカナクション,
song_0053,夜の踊り子,サカナクション,
song_0054,アイデンティティ,サカナクション,
song_0055,千鳥,ヨルシカ,
song_0056,八月、某、月明かり,ヨルシカ,
song_0057,夕凪、某、花惑い,ヨルシカ,
song_0058,夜紛い,ヨルシカ,
song_0059,言って。,ヨルシカ,
song_0060,晴る,ヨルシカ,
song_0061,水平線,back number,
song_0062,幸せ,back number,
song_0063,BABY STEP,LAMP IN TERREN,
song_0064,secret base〜君がくれたもの〜,ZONE,
song_0065,靴の花火,ヨルシカ,
song_0066,花に亡霊,ヨルシカ,
song_0067,忘れてください,ヨルシカ,
song_0068,風を食む,ヨルシカ,
song_0069,花人局,ヨルシカ,
song_0070,夜明けと蛍,n-buna,
song_0071,天ノ弱,164,
song_0072,からくりピエロ,40mP,
song_0073,トリノコシティ,40mP,
song_0074,シリョクケンサ,40mP,
song_0075,ロミオとシンデレラ,doriko,
song_0076,magnet,minato,
