song_name,artist,play_count
ネムクナッテキタ、 (かわいい)、セルフ睡眠導入,,1
#7 アカシア,BUMP OF CHICKEN,1
(かわいい),,1
#8 靴の花火,ヨルシカ,1
#9 Calc.,ジミーサムP,1
活動4ヵ月半で動画が342本ある、 実は眼鏡/コンタクト使用者、眼鏡が壊れそう,,1
#10 旅立ちの日に (合唱曲),作曲 坂本浩美,1
#11 千の風になって,秋川雅史,1
#12 unravel,TK from 凛として時雨,1
デスボイスの練習してる、 (選曲中) ただいま考え中,,1
#13 心拍数♯0822,蝶々P,1
#14 水平線,back number,1
#15 雨晴るる,ヨルシカ,1
ミンナナカナカネナイネ？、 (かわいい)、 原キーで弾いてみる,,1
#16 晴る,ヨルシカ,1
#17 トリノコシティ,40mP,1
48800人達成、 WAになって踊ろう、オリ曲を届けたい,,1
#18 Break through,ミナミイズミ,1
先日の女性ボーカル縛りでオリ曲11曲歌った話、 5年前に作った曲を初披露する、 思い出しタイム,,1
#19 燃えてゆく,ミナミイズミ,1
宮沢賢治「よだかの星」がテーマの歌、昔から青色が好き、 もう1曲やっていい？(イイヨー)、 Break through のお兄ちゃん,,1
#20 悲しくならないか,ミナミイズミ,1
活動テーマを予知していたかのような歌、 オリ曲発掘したら歌いたくなった、,,1
#1 タッチ,岩崎良美,1
#3 ただ君に晴れ,ヨルシカ,1
#4 八月、某、月明かり,ヨルシカ,1
#5 晴る,ヨルシカ,1
#6 だから僕は音楽を辞めた,ヨルシカ,1
#7 愛を伝えたいだとか,あいみょん,1
リクエスト - 貴方解剖純愛歌 死ね,あいみょん (サビだけ),1
#8 マリーゴールド,あいみょん,1
#9 コイスルオトメ,いきものがかり,1
#10 ブルーバード,いきものがかり,1
#11 気まぐれロマンティック,いきものがかり,1
#12 フライングゲット,AKB48,1
#13 ポニーテールとシュシュ,AKB48,1
#14 CHE.R.RY,Yui,1
#15 again,Yui,1
#16 チョコレイトディスコ,Perfume,1
#17 丸の内サディスティック,椎名林檎,1
#18 Dear...,西野カナ,1
#19 Best Friend,西野カナ,1
#20 ぐるぐる,ミナミイズミ,1
#21 アイロニー,ミナミイズミ,1
#22 良かった,ミナミイズミ,1
#23 美しくならないで,ミナミイズミ,1
#24 コントラスト,ミナミイズミ,1
#25 明けない夜は無いとしたら,ミナミイズミ,1
#26 この暗闇を抜け出すまでは,ミナミイズミ,1
#27 明日を歌う今日の唄,ミナミイズミ,1
#28 もう一度ぼくは,ミナミイズミ,1
何者にもなれないって悪いことかな,ミナミイズミ (サビのみ),1
いい子ちゃん,ミナミイズミ (歌詞朗読),1
#29 チワワになりたい,ミナミイズミ,1
弾き語り大好き、 #6 take1⇒ギター調整、 #6 take2⇒再調整、 (かわいい),,1
替え歌,,1
久しぶりにたくさん弾いた、やっぱり弾き語りが好き、明日帰省する、風邪には気を付けよう、,,1
新しいミナミイズミ、実質みんな初見、 イズミ構文「歌える曲なら歌えるかも、歌えない曲は歌えない」、電気消して真っ暗で歌おう,,1
羞恥心,羞恥心 (ワンコーラス),1
みんな起きてる？寝た？夢の中からコメントしてる？今日は叩き起こさんから。寝ながら聴いて,,1
自分が眠たくなってきた、あくびでよく顎が外れるという話、特技はBUMPの逆イントロドンと卵を片手で割ること (メロディー),,1
今私が音楽続けられてるのはBUMPのおかげ、 BUMPにありがとうって言って,,1
Secret base〜君がくれたもの,ZONE,1
泣かないで からの羞恥心(ﾃﾞｼﾞｬﾌﾞ)、 ﾒﾝﾏ ﾐﾂｶｯﾁｬｯﾀ、眠くなってきたので次ラスト、オリ曲やっていい？イイヨー、オリ曲をもっといろんな人に届けたい,,1
ファンレターを実は受け付けてる、手紙めっちゃほしい、 結晶、 ぐるぐるどっか ん!、 手紙 拝啓 十五の君へ 、,,1
貰った手紙は全部保管してる、チキンラーメンのひよこ、 数え歌、 サイレントギター弾くときニコルのクッションを抱えている、,,1
BUMPありがとうって言って(2回目)、BUMPはアバラの痛みにも効く、 ベル、自分が作った音楽で誰かに良い影響を与えたい、 ﾐﾝﾅﾉｺﾄｼｯﾃﾝﾀﾞｶﾗ、圧やめない、,,1
amazarashiのライブまた申し込んだよ、ライブ大好き、配信大好き、体が弾き語りを求めている、SDさんのおかげでレコーディングが楽しい、褒められすぎると疑心暗鬼になる、今夜の睡眠導入はちゃんと寝かせるから、人との距離感、ミナミイズミは大型犬、 過去に作った曲を昇華させたい、出会いはモチベになる,,1
秒針を噛む,ずっと真夜中でいいのに。,1
恋愛サーキュレーション,千石撫子,1
-. JANE DOE(サビだけ口ずさむ),,1
ずうっといっしょ！/ キタニタツヤ,,1
"Ch.登録45,000人おめでとうございます！",,1
ビンクスの酒,麦わらの一味,1
怒りをくれよ,GLIM SPANKY,1
BRAND NEW WORLD,D-51,1
One day,The ROOTLESS,1
長い間,Kiroro,1
さよならエレジー,菅田将暉,1
Flareと重なる話,,1
ロスタイムメモリー,じん,1
二十九、三十,クリープハイプ,1
