video_id,published_at,title,channel_title,duration,view_count,like_count
XoB6JwaXaXQ,2025-10-29T14:00:55Z,【#弾き語り】ONE PIECE楽曲！仲間にならないか？ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H42M29S,5540,522
GrGhp-P27mQ,2025-10-27T18:21:53Z,【#弾き語り】1曲聴いてってください！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H1M50S,6815,607
bY4un1F4MSQ,2025-10-24T17:46:21Z,【#弾き語り】1曲聴いてってください！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H34M4S,4643,450
Aacs2df4isg,2025-10-23T10:20:10Z,【#弾き語り】1曲聴いてってください！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H14M54S,7673,710
w1xVWGdySPk,2025-10-19T18:34:36Z,【#弾き語り】睡眠導入ゲリラ  singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H52M51S,6997,612
GZMKRBkW4PE,2025-10-17T09:55:18Z,【#弾き語り】夕方帰り道のおともに！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H29M18S,5555,512
oRXxaSre1rU,2025-10-16T13:38:23Z,【#弾き語り】アニソンいっぱい歌う！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H28M38S,14036,890
1AgQLDIr718,2025-10-14T23:49:40Z,【#弾き語り】おはよう！朝に1曲聴いていきませんか singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H27M1S,6572,595
3kfAwI36HW8,2025-10-14T14:37:53Z,【#弾き語り】夜のおともに1曲ぜひ！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H55M8S,12629,957
8bDL-I0kWqc,2025-10-14T05:34:17Z,【#弾き語り】1曲聴いていってください♪ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H27M37S,12088,765
1sOnXlfpW5M,2025-10-12T01:30:39Z,【#弾き語り】朝活！ちょっと歌う！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H30M54S,6852,511
LmiCmtttwWU,2025-10-09T00:06:48Z,【#弾き語り】おはよう！#朝活 歌うで！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H10S,8581,650
xeJpCAJ0Jnc,2025-10-08T11:04:10Z,【#弾き語り】帰り道のおともに1曲どうですか！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H29M50S,12627,883
QbWeaWBNiCA,2025-10-05T01:30:19Z,【#弾き語り】おはようゲリラ！歌お～ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H5M16S,13248,797
lbWA9l9sHlc,2025-10-04T16:45:16Z,【#弾き語り】デビュー3ヶ月！33曲歌う！これからもよろしく！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H32M59S,16088,895
rbqxK0Qyv2w,2025-10-02T18:22:57Z,【#弾き語り】がんばれ滑舌！早口ソング歌います singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H11M47S,17042,1015
A_oW9Fz4K3k,2025-10-01T16:25:07Z,【#弾き語り】かわいい曲を歌います！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H46M53S,7848,612
146CpIqqhTQ,2025-09-30T13:12:53Z,【#弾き語り】4万人耐久！1曲聴いてってください！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H4M23S,13359,1232
OpuJsPLdI7c,2025-09-29T18:48:05Z,【#弾き語り】アガる曲歌います！！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H25M12S,8257,677
2UHvo5D5nYo,2025-09-27T16:00:46Z,【#弾き語り】1曲ぜひ聴いていってください！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H17M31S,5082,506
ZqXExRQaTxM,2025-09-26T17:07:03Z,【#弾き語り】アニソン歌う！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H37M28S,6306,528
0NdIroW6EO8,2025-09-26T10:22:17Z,【#弾き語り】帰り道のおともに1曲ぜひ！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H15M21S,7957,724
oN6YPLl8Y84,2025-09-24T16:55:29Z,【#弾き語り】ボカロたっぷり歌う！  singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H49M25S,8120,720
dUkM_uE7dMo,2025-09-23T19:04:07Z,【#弾き語り】izumeet振り返りゲリラ！  singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H57M19S,5415,466
Bl8o-p8ZkfQ,2025-09-22T19:19:50Z,【#弾き語り】1曲夜ふかしのおともに どうですか  singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H50M46S,5460,481
cOkNFDhO7HE,2025-09-21T21:23:52Z,【#弾き語り】まよなかゲリラ  singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H55M43S,4292,424
DYQ4cT4rYz8,2025-09-19T19:26:31Z,【#弾き語り】夜ふかしのおともに聴いてってください #izumeet singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H49M56S,7262,598
CI_EGcqIkbs,2025-09-13T19:17:22Z,【#弾き語り】今夜もたくさん歌おう singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H15M20S,13370,994
caiO8LTLxGQ,2025-09-12T19:20:50Z,【#弾き語り】深夜にたっぷり歌おう singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H3M18S,5832,579
DEnxw--Apuo,2025-09-10T11:24:41Z,【#弾き語り】夕方から夜へ 沢山歌います！- singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H40S,16812,1111
LiJztl5KMxc,2025-09-09T18:10:42Z,【#弾き語り】バチバチかっこいい熱い歌！- singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H34M52S,14345,907
agytmgvZhR0,2025-09-08T20:10:04Z,【#弾き語り】睡眠導入しっとり歌うよ- singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H42M48S,16652,991
B4AXr25lQqQ,2025-09-06T17:47:30Z,【#弾き語り 】ボカロたっっっぷり歌う- singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H37M22S,18363,1243
ar_RvxAt9cs,2025-09-05T18:51:58Z,【#弾き語り 】アニソンたっっっぷり歌う- singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H46M37S,14573,1003
j2U9G8f5BSg,2025-09-03T20:19:27Z,【#弾き語り】男性アーティストさんの曲たっぷり歌います - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H2M21S,8826,664
19ShypARiKc,2025-09-02T19:45:41Z,【#弾き語り】女性アーティストさんの曲たっぷり歌います - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H5M35S,10589,801
VpqN8bJ0pfc,2025-08-21T17:35:26Z,【#弾き語り】ジャンプアニソン歌う！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H28M25S,33927,1466
m2X2bZ-O6U4,2025-08-20T16:30:12Z,【#弾き語り】しっとり歌います - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H9M2S,11630,808
N72prMJhR2Q,2025-08-19T18:34:47Z,【#弾き語り】夏の曲たくさん歌います - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H25M28S,23725,1192
G900qZaUqGg,2025-08-18T18:59:19Z,【#弾き語り】男性アーティスト様の曲たくさん歌います - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H4M11S,25176,1229
9DGL-LRRU0c,2025-08-16T19:28:54Z,【#弾き語り】真夜中たっぷり歌う！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H3M14S,15650,999
QmQ6fQlPcdY,2025-08-14T17:05:42Z,【#弾き語り】ボカロいっぱい歌う！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H49S,12770,947
dC089t-RiRY,2025-08-13T19:03:02Z,【#弾き語り】たくさん歌います！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H21M59S,23102,1265
wDr39WqUL0E,2025-08-11T18:34:48Z,【#弾き語り】タイトル英語の曲縛りで歌う！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H21M40S,12757,744
k7asFBbkFYs,2025-08-10T18:20:31Z,【#弾き語り】カッコ良い曲ばかり歌っちゃう日 - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H12M51S,17086,961
PCFJGWsxuXg,2025-08-09T19:28:13Z,【#弾き語り】深夜ゲリラ歌っちゃお - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H46M17S,13004,759
eXlDZNtJpi8,2025-08-08T17:28:19Z,【#弾き語り】沢山歌う！一緒に夜ふかし - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H6M17S,12087,704
WmYhdrcYxLA,2025-08-07T16:27:03Z,【#弾き語り】お花ソングを沢山歌う！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H19M42S,12834,734
nMP02CeqvD0,2025-08-06T16:35:41Z,【#弾き語り】睡眠導入ゆっくり歌う - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H27M51S,11999,794
MokfNvrXf4k,2025-08-05T16:47:45Z,【#弾き語り】眠れない人集合！睡眠導入 singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT50M33S,7899,481
p7fml_AqBoA,2025-08-04T23:11:57Z,【#弾き語り】 ゲリラモーニングひきがたり！singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H2M58S,9206,492
xTy--TUT5pU,2025-08-01T16:36:40Z,【#弾き語り】収益化記念！オリ曲投げ銭ライブ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H24M45S,12174,773
Y9UuyIcQKQk,2025-07-31T12:02:54Z,【#弾き語り】アイドルソング歌う！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H18M53S,10594,634
6mTAr79ArrI,2026-02-12T15:55:23Z,【#歌枠】BUMP OF CHICKENルーレット歌枠！1曲聴いてってください！ singing stream - ミナミイズミ  #shorts #vsinger #karaoke,ミナミイズミ / IZUMI MINAMI,PT2H47M10S,9947,779
bTLgf9izWLI,2026-02-10T16:45:52Z,【#弾き語り】BUMP OF CHICKENセトリ順に歌う！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H36M40S,13010,905
O8yf9_l-Imc,2026-02-26T14:40:16Z,【#弾き語り】1曲聴いてってください！ ライブ前最後の歌枠！singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H21M44S,5515,575
EwczGARgoVc,2026-02-21T15:59:05Z,【#弾き語り】しっとり睡眠導入～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H27M26S,6209,560
lt2hQpuJEsg,2026-02-20T15:14:34Z,【#弾き語り】アゲてこ！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H3M8S,7782,668
SslH231V_3E,2026-02-15T08:41:57Z,【#弾き語り】昼下がり～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H58M53S,8408,663
tv0iCYVhcbc,2026-02-13T16:02:27Z,【#弾き語り】1週間お疲れ様～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H55M34S,11704,850
F4fhxy5cWag,2026-02-05T14:51:17Z,【#弾き語り】6万人耐久！1曲聴いてってね！singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H28M45S,7903,849
n2C2nCVlgOc,2026-02-04T15:58:23Z,【#弾き語り】しっとり～1曲聴いてってください singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H29M29S,6214,571
t8PexGHReAs,2026-02-02T16:18:57Z,【#弾き語り】やさしい曲DAY～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H10M46S,7879,733
NtNwoc44qMU,2026-01-24T16:26:40Z,【#弾き語り】夜ふかし睡眠導入～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H19M46S,6308,617
afgOTM1XsmM,2026-01-22T15:22:39Z,【#弾き語り】やさしい弾き語りをします singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H47M6S,6305,629
v_mQaHDQ4zU,2026-01-21T17:19:23Z,【#弾き語り】起きてる？寝る前にちょっと歌う singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT52M23S,3525,435
YoVlidf5thM,2026-01-18T14:14:12Z,【#弾き語り】アニソン縛り!1曲聴いてってください!! singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H3M32S,12953,1034
0ML9ZgUZGos,2026-01-16T04:57:07Z,【#弾き語り】ランチタイムに1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H46M29S,6281,592
A8Z3cWJPTSM,2026-01-11T15:51:35Z,【#弾き語り】夜ふかし弾き語り～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H42M56S,8509,841
Ir33Gsytwew,2025-12-29T15:28:52Z,【#弾き語り】歌うよ～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H55M17S,7660,623
J0xBbheNHrk,2025-12-27T17:46:33Z,【#弾き語り】歌うよ～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H5M36S,15349,988
itlKtLU_QDo,2025-12-26T17:42:56Z,【#弾き語り】睡眠導入！親知らず抜きたて singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H32M44S,23125,1355
Je4g-9y-mmM,2025-12-25T15:46:28Z,【#弾き語り】メリクリ～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H32M7S,11170,914
IVNhwAwh0i4,2025-12-22T01:23:53Z,【#弾き語り】おはよう！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H58M49S,14191,1078
MRA6zr4T_x4,2025-12-20T17:54:32Z,【#弾き語り】睡眠導入～1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H16M9S,8457,791
W0A_MtLfExg,2025-12-17T16:12:33Z,【#弾き語り】アニソン歌う！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H56M23S,6887,735
kdlENxZZ3zw,2025-12-13T18:01:06Z,【#弾き語り】バラードとアツい曲交互に歌います！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H44M5S,10775,1006
